Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,2735,552,66,303350,"10475,86","0,219%","8,99929","1,72","1,32","196,1"
/user_info_2,2731,724,68,303123,"13218,28","0,256%","9,00951","4,28","2,23","486,9"
/user_info_3,2725,1030,69,299653,"15929,43","0,367%","9,02174","3,51","2,19","397,9"
/object_info_1,2715,1449,67,299641,"19686,09","0,516%","9,03182","2,31","1,40","261,3"
/object_info_2,2701,543,68,299624,"11489,78","0,148%","8,98874","4,22","1,41","481,3"
/object_info_3,2697,757,68,298373,"13768,11","0,260%","8,97779","4,76","1,41","542,6"
/object_info_4,2691,507,68,297903,"10156,64","0,223%","8,95988","2,29","1,41","261,5"
TOTAL,18995,795,66,303350,"13896,65","0,284%","62,50062","22,90","11,28","375,2"
